요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
사단법인청색회 연지그린요양병원,요양병원,부산,210004,부산진구,"부산광역시 부산진구 새싹로 186, (연지동)",129.0496884,35.1728103
사람인치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 아시아드대로 186, 4층 (사직동)",129.0652494,35.2009008
사랑가득안과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 낙동남로 1412, 4층 (하단동, 경부빌딩)",128.966083,35.1057921
사랑가득의원,의원,부산,210011,부산금정구,"부산광역시 금정구 중앙대로1841번길 24, (주)이마트금정점 2층 (구서동)",129.0906011,35.2499563
사랑가득한내과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 재반로 237, 6층 (반여동)",129.1310389,35.1983933
사랑가득한의원,한의원,부산,210009,부산해운대구,"부산광역시 해운대구 재반로 202, 2층 (반여동)",129.1308661,35.1952768
사랑니랑구강악안면외과 치과의원,치과의원,부산,210013,부산연제구,"부산광역시 연제구 월드컵대로 144, 우전빌딩 301호 (연산동)",129.0806469,35.1866898
사랑모아치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 802, 웅신시네아트 2층 210호 (좌동)",129.1766569,35.1691635
사랑방한의원,한의원,부산,210010,부산사하구,"부산광역시 사하구 사하로198번길 2, 1층 (괴정동)",128.9939597,35.0993736
사랑요양병원,요양병원,부산,210011,부산금정구,"부산광역시 금정구 중앙대로 1590, (부곡동)",129.0896693,35.2265843
사랑의의원,의원,부산,210007,부산영도구,"부산광역시 영도구 절영로 58, (남항동2가)",129.0381921,35.0892102
사랑이꽃피는한의원,한의원,부산,210009,부산해운대구,"부산광역시 해운대구 좌동순환로 506, 영풍리젠시 302,303,404,803호 (중동)",129.1687362,35.1661755
사랑이넘치는의원,의원,부산,210003,부산동래구,"부산광역시 동래구 아시아드대로 226, 4층 (온천동)",129.0672734,35.2038905
사랑치과의원,치과의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 767, 3층 (수영동, 메종빌딩)",129.1226788,35.1668367
사상늘편한재활의학과의원,의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 194, 괘법동 메디컬센터 2,8층 (괘법동)",128.9847721,35.1625689
사상맥치과의원,치과의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 297, 3층 (덕포동)",128.9827951,35.1713581
사상미사랑피부과의원,의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 200, (괘법동, M시티)",128.9846023,35.1629712
사상사랑성모안과의원,의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 200, 5층 (괘법동, M시티빌딩)",128.9846023,35.1629712
사상스마트병원,병원,부산,210015,부산사상구,"부산광역시 사상구 학감대로 269, 지하2~지상10층 (감전동)",128.9905151,35.1550682
사상아름다운치과의원,치과의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 201, 5층 (괘법동, 서부터미널 별관)",128.9809858,35.1631462
사상연세비앤이치과병원,치과병원,부산,210015,부산사상구,"부산광역시 사상구 학감대로 233, 2층 (감전동)",128.9896945,35.1519836
사상치과의원,치과의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 215, 3층 (괘법동)",128.9834106,35.1642442
사상튼튼정형외과의원,의원,부산,210015,부산사상구,"부산광역시 사상구 사상로 204, 3층 (괘법동)",128.9843642,35.163378
사상한의원,한의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 375-3, (우동)",129.1381944,35.1697103
사암당한의원,한의원,부산,210005,부산북구,"부산광역시 북구 만덕대로 43, 복음항외과빌딩 2,5층 (덕천동)",129.009647,35.2114478
사암당한의원,한의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 700, 3층 (광안동, 베스테이 센트럴뷰)",129.1161263,35.167355
사암통도한의원,한의원,부산,210009,부산해운대구,"부산광역시 해운대구 마린시티2로 2, 605~6호 (우동, 마린파크)",129.1442096,35.15934
사임당한의원,한의원,부산,210009,부산해운대구,"부산광역시 해운대구 센텀2로 20, 703호 (우동, 센텀타워메디컬)",129.1320258,35.1671978
사직365부부한의원,한의원,부산,210003,부산동래구,"부산광역시 동래구 아시아드대로 149-1, 2층 (사직동)",129.0651242,35.1977827
사직내과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 21, (사직동)",129.0602486,35.1977084
사직뉴욕치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 16, 3층 (사직동, 국민은행)",129.0607783,35.1973124
사직마디의원,의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 25-1, 4층 (사직동)",129.0600902,35.1981387
사직마취통증의학과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 석사로 5, 5층 (사직동)",129.0606783,35.1980634
사직부부치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로19번길 6, 2층 (사직동)",129.0600929,35.1976529
사직부산아동병원,병원,부산,210003,부산동래구,"부산광역시 동래구 아시아드대로 186, (사직동)",129.0652494,35.2009008
사직어린이치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 석사로 46, 3층 (사직동)",129.0643438,35.20029
사직에이스치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 아시아드대로 149-1, 4층 (사직동)",129.0651242,35.1977827
사직요양병원,요양병원,부산,210003,부산동래구,"부산광역시 동래구 충렬대로 97, (온천동)",129.0718307,35.2073474
사직정형외과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 18, (사직동)",129.0607545,35.1974886
사직치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 24, (사직동)",129.0605403,35.1979788
사하구보건소,보건소,부산,210010,부산사하구,"부산광역시 사하구 하신중앙로 185, 사하구 제2청사, 신평2동행정복지센터 (신평동)",128.9615408,35.0949676
사하더바른마취통증의학과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 234, 301, 302호 (장림동)",128.9769437,35.0815787
사하봄내과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 234, 4층 (장림동)",128.9769323,35.0815768
사하신경외과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 낙동대로 161, 지하1층일부지상1층 (괴정동)",128.9986542,35.102285
사하위드치과의원,치과의원,부산,210010,부산사하구,"부산광역시 사하구 승학로 53, 2층 (당리동)",128.9743935,35.1056404
사하이편한치과의원,치과의원,부산,210010,부산사하구,"부산광역시 사하구 서포로30번길 9, (구평동)",128.9859911,35.0823715
사하튼튼소아청소년과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 302, 4,5,7,8층 (장림동)",128.9764678,35.075453
사하한의원,한의원,부산,210010,부산사하구,"부산광역시 사하구 괴정로 259, (괴정동)",128.9897706,35.0971265
사회복지법인 동남복지재단 부산은빛요양병원,요양병원,부산,210005,부산북구,"부산광역시 북구 백양대로1048번길 10, (구포동)",128.9966153,35.198363
